arch,pool,pool_open_x,pool_idle,achieved_mean,achieved_min,achieved_max,p99_mean_ms,db_throttle_mean_pct,api_throttle_mean_pct,pool_wait_ms_per_iter_mean,bottleneck
rest,20:20,20,20,800.0111333333334,800.0,800.0167,41.0773,0.0,99.5,4.264929323927099,정상
rest,50:50,50,50,800.0111333333334,800.0,800.0167,27.04303333333333,0.056666666666666664,99.06,0.005130519633909586,정상
rest,100:100,100,100,800.0055666666667,799.9833,800.0167,56.5966,6.676666666666666,96.08999999999999,6.399374746385502,정상
rest,500:100,500,100,570.0389,540.4167,605.7833,1888.6657333333333,98.86000000000001,29.746666666666666,638.929959473579,DB 경합
rest,500:500,500,500,642.9611,572.8667,690.5333,1241.7341,91.27666666666666,49.64333333333334,372.1884662736813,DB 경합
graphql,20:20,20,20,784.5444333333334,776.9167,795.1833,654.8181333333333,2.46,99.62666666666667,1111.6585264717557,API 측 대기
graphql,50:50,50,50,799.9833333333332,799.9333,800.0167,195.03686666666667,15.726666666666667,98.47000000000001,167.97983298059475,API 측 대기
graphql,100:100,100,100,766.3222333333333,758.1667,772.3833,604.4106666666667,14.020000000000001,98.10000000000001,959.4918304127465,API 측 대기
graphql,500:100,500,100,591.2500333333334,539.9167,642.2167,1265.3137,87.07666666666667,63.59,683.1632960771911,DB 경합
graphql,500:500,500,500,488.9222333333334,453.8167,520.1167,1415.9954,84.39999999999999,37.9,980.4192321376473,DB 경합
grpc,20:20,20,20,800.0222333333335,800.0167,800.0333,68.69,0.8366666666666666,99.44666666666666,13.09162817032226,정상
grpc,50:50,50,50,800.0111333333334,800.0,800.0167,54.04843333333333,0.7233333333333333,99.55666666666667,2.081142330121654,정상
grpc,100:100,100,100,800.0167,800.0167,800.0167,75.59346666666666,1.72,99.27999999999999,5.537933006759594,정상
grpc,500:100,500,100,547.9333666666666,508.8167,588.8167,1956.9733666666664,98.23333333333333,38.54333333333333,713.96008834863,DB 경합
grpc,500:500,500,500,770.85,748.85,800.0167,465.44963333333334,54.50333333333333,78.93333333333334,96.31057469645428,DB 경합
