block,condition,pool,arch,light,rate_x,achieved_mean,achieved_min,achieved_max,achieved_ratio_pct,p99_mean_ms,api_cpu_mean_pct,api_cap_share_pct,db_cpu_mean_pct,db_cap_share_pct,db_throttle_mean_pct,source_session
보정 조건,REST (19쿼리),50:50,rest,0,800,800.0167,800.0167,800.0167,100.00208749999999,38.612033333333336,198.49916666666664,97.77777777777777,128.4836,0.0,1.11,exp_de_caph2_20260918_1436
보정 조건,REST (19쿼리),50:50,rest,0,900,900.0111333333334,900.0,900.0167,100.00123703703704,57.7866,197.96790000000001,96.11111111111113,146.22403333333332,0.0,0.6133333333333334,exp_de_caph2_20260918_1436
보정 조건,REST (19쿼리),50:50,rest,0,1000,1000.0278,1000.0167,1000.05,100.00278,140.02226666666667,198.21516666666665,95.0,161.9572,0.0,1.7733333333333334,exp_de_caph2_20260918_1436
보정 조건,REST (19쿼리),50:50,rest,0,1100,1035.4833333333333,1024.5,1048.2833,94.13484848484849,518.0021333333333,197.6484,93.88888888888887,143.20243333333335,0.0,3.3866666666666667,exp_de_caph2_20260918_1436
보정 조건,gRPC (19쿼리),50:50,grpc,0,800,799.6889000000001,799.0333,800.0167,99.96111250000001,146.2691,196.61933333333332,95.0,129.7277,0.0,3.0,exp_de_caph2_20260918_1436
보정 조건,gRPC (19쿼리),50:50,grpc,0,900,900.0055666666667,900.0,900.0167,100.00061851851851,69.3913,197.98253333333332,95.55555555555556,148.63743333333335,0.0,11.846666666666666,exp_de_caph2_20260918_1436
보정 조건,gRPC (19쿼리),50:50,grpc,0,1000,992.4,990.8333,994.9667,99.24,243.60913333333335,197.57489999999999,94.44444444444444,162.4197,0.0,28.606666666666666,exp_de_caph2_20260918_1436
보정 조건,gRPC (19쿼리),50:50,grpc,0,1100,1019.4722,995.1833,1046.1333,92.67929090909092,530.8312666666667,198.77859999999998,93.88888888888887,142.26886666666667,0.0,14.066666666666668,exp_de_caph2_20260918_1436
보정 조건,GraphQL light (19쿼리),50:50,graphql,1,800,800.0055666666667,800.0,800.0167,100.00069583333332,41.174299999999995,197.69466666666665,97.77777777777777,123.49380000000001,0.0,0.22,exp_de_caph2_20260918_1436
보정 조건,GraphQL light (19쿼리),50:50,graphql,1,900,900.0055666666667,900.0,900.0167,100.00061851851851,165.6644,196.32036666666667,95.0,141.96036666666666,0.0,10.66,exp_de_caph2_20260918_1436
