arch,tc,api_tag,jitter,p99_mean_ms,p99_min_ms,p99_max_ms,p50_mean_ms,p95_mean_ms,source_session
rest,tc1,rest,없음,8.014,6.547,9.803,0.467,2.674,exp_20260915_030551
rest,tc1,rest,있음,1.708,1.546,1.988,0.271,0.547,exp_20260915_030551
rest,tc2,rest,없음,5.329,4.19,6.384,0.685,3.026,exp_20260915_030551
rest,tc2,rest,있음,1.697,1.59,1.81,0.418,0.784,exp_20260915_030551
rest,tc3,rest_part1,없음,3.988,3.145,4.423,0.441,2.073,exp_20260915_030551
rest,tc3,rest_part2,없음,3.919,3.178,4.452,0.442,2.077,exp_20260915_030551
rest,tc3,rest_part1,있음,1.027,0.962,1.128,0.25,0.477,exp_20260915_030551
rest,tc3,rest_part2,있음,0.87,0.781,1.008,0.247,0.459,exp_20260915_030551
rest,tc4,rest,없음,11.466,8.176,13.936,2.007,6.182,exp_20260915_030551
rest,tc4,rest,있음,3.148,2.982,3.351,1.01,1.911,exp_20260915_030551
rest,tc5,rest,없음,12.505,7.732,19.346,1.933,5.521,exp_20260915_030551
rest,tc5,rest,있음,2.877,2.741,3.084,0.991,1.843,exp_20260915_030551
rest,tc6,rest,없음,1.94,1.523,2.272,0.195,0.837,exp_20260915_030551
rest,tc6,rest,있음,0.456,0.427,0.5,0.127,0.247,exp_20260915_030551
rest,tc7,rest_error,없음,3.212,2.529,3.619,0.454,1.563,exp_20260915_030551
rest,tc7,rest_error,있음,1.0,0.872,1.092,0.287,0.521,exp_20260915_030551
graphql,tc1,graphql,없음,37.88,35.91,41.527,0.588,4.038,exp_20260915_030551
graphql,tc1,graphql,있음,2.641,2.306,3.056,0.302,0.664,exp_20260915_030551
graphql,tc2,graphql,없음,7.051,6.5,7.926,0.83,3.776,exp_20260915_030551
graphql,tc2,graphql,있음,1.829,1.781,1.901,0.444,0.911,exp_20260915_030551
graphql,tc3,graphql,없음,32.401,26.269,40.326,2.451,7.62,exp_20260915_030551
graphql,tc3,graphql,있음,3.524,3.277,3.701,1.025,2.108,exp_20260915_030551
graphql,tc4,graphql,없음,39.202,35.119,44.726,2.351,6.968,exp_20260915_030551
graphql,tc4,graphql,있음,3.241,3.182,3.357,1.006,2.045,exp_20260915_030551
graphql,tc5,graphql,없음,45.623,42.051,47.776,2.265,6.837,exp_20260915_030551
graphql,tc5,graphql,있음,3.329,3.097,3.484,1.007,2.093,exp_20260915_030551
graphql,tc6,graphql,없음,2.954,2.752,3.164,0.222,1.015,exp_20260915_030551
graphql,tc6,graphql,있음,0.533,0.517,0.547,0.14,0.273,exp_20260915_030551
graphql,tc7,graphql_error,없음,12.754,5.401,20.483,0.52,1.958,exp_20260915_030551
graphql,tc7,graphql_error,있음,1.293,1.254,1.326,0.309,0.587,exp_20260915_030551
grpc,tc1,grpc,없음,11.487,7.631,17.053,0.505,2.297,exp_20260915_030551
grpc,tc1,grpc,있음,3.001,2.25,3.556,0.321,0.636,exp_20260915_030551
grpc,tc2,grpc,없음,4.624,3.715,5.18,0.615,2.077,exp_20260915_030551
grpc,tc2,grpc,있음,1.527,1.375,1.752,0.429,0.731,exp_20260915_030551
grpc,tc3,grpc_part1,없음,4.123,3.318,4.872,0.498,1.713,exp_20260915_030551
grpc,tc3,grpc_part2,없음,3.643,2.95,4.021,0.512,1.655,exp_20260915_030551
grpc,tc3,grpc_part1,있음,1.209,1.165,1.236,0.303,0.596,exp_20260915_030551
grpc,tc3,grpc_part2,있음,1.025,1.012,1.032,0.305,0.586,exp_20260915_030551
grpc,tc4,grpc,없음,8.681,8.365,9.181,1.852,4.94,exp_20260915_030551
grpc,tc4,grpc,있음,3.37,3.226,3.601,1.067,1.927,exp_20260915_030551
grpc,tc5,grpc,없음,9.418,8.3,11.148,1.798,4.618,exp_20260915_030551
grpc,tc5,grpc,있음,3.308,3.273,3.346,1.068,1.921,exp_20260915_030551
grpc,tc6,grpc,없음,1.553,1.406,1.656,0.252,0.833,exp_20260915_030551
grpc,tc6,grpc,있음,0.596,0.587,0.611,0.166,0.338,exp_20260915_030551
grpc,tc7,grpc_error,없음,2.726,2.314,3.078,0.484,1.386,exp_20260915_030551
grpc,tc7,grpc_error,있음,1.028,0.979,1.089,0.332,0.618,exp_20260915_030551
