tc,arch,vus,jitter,p99_mean_ms,p99_min_ms,p99_max_ms,mean_mean_ms,p50_mean_ms,p95_mean_ms,reps,source_session
tc1,rest,300,없음,5.597,5.479,5.699,1.021,0.574,3.127,3,exp_20260915_030551
tc1,rest,300,있음,1.226,1.184,1.303,0.349,0.271,0.504,3,exp_20260915_030551
tc1,rest,400,없음,5.939,5.541,6.597,0.894,0.47,2.797,3,exp_20260915_030551
tc1,rest,400,있음,1.485,1.354,1.615,0.343,0.267,0.522,3,exp_20260915_030551
tc1,rest,500,없음,8.014,6.547,9.803,0.986,0.467,2.674,3,exp_20260915_030551
tc1,rest,500,있음,1.708,1.546,1.988,0.34,0.271,0.547,3,exp_20260915_030551
tc1,graphql,300,없음,8.407,5.727,13.201,1.139,0.581,3.193,3,exp_20260915_030551
tc1,graphql,300,있음,1.425,1.28,1.551,0.374,0.297,0.542,3,exp_20260915_030551
tc1,graphql,400,없음,19.145,13.62,29.682,1.373,0.549,3.556,3,exp_20260915_030551
tc1,graphql,400,있음,1.5,1.468,1.539,0.407,0.303,0.587,3,exp_20260915_030551
tc1,graphql,500,없음,37.88,35.91,41.527,1.81,0.588,4.038,3,exp_20260915_030551
tc1,graphql,500,있음,2.641,2.306,3.056,0.418,0.302,0.664,3,exp_20260915_030551
tc1,grpc,300,없음,5.921,5.244,6.524,0.984,0.627,2.748,3,exp_20260915_030551
tc1,grpc,300,있음,1.273,1.172,1.442,0.363,0.312,0.535,3,exp_20260915_030551
tc1,grpc,400,없음,11.361,6.0,20.059,1.212,0.623,3.165,3,exp_20260915_030551
tc1,grpc,400,있음,1.361,1.042,1.758,0.374,0.317,0.544,3,exp_20260915_030551
tc1,grpc,500,없음,11.487,7.631,17.053,1.017,0.505,2.297,3,exp_20260915_030551
tc1,grpc,500,있음,3.001,2.25,3.556,0.432,0.321,0.636,3,exp_20260915_030551
tc5,rest,300,없음,7.6,7.145,8.403,2.47,2.131,5.315,3,exp_20260915_030551
tc5,rest,300,있음,2.966,2.907,3.062,1.177,0.936,1.637,3,exp_20260915_030551
tc5,rest,400,없음,8.519,8.097,9.001,2.455,1.913,5.653,3,exp_20260915_030551
tc5,rest,400,있음,2.944,2.82,3.112,1.124,0.95,1.728,3,exp_20260915_030551
tc5,rest,500,없음,12.505,7.732,19.346,2.798,1.933,5.521,3,exp_20260915_030551
tc5,rest,500,있음,2.877,2.741,3.084,1.126,0.991,1.843,3,exp_20260915_030551
tc5,graphql,300,없음,8.271,7.991,8.634,2.531,2.049,5.496,3,exp_20260915_030551
tc5,graphql,300,있음,2.889,2.814,2.971,1.086,0.933,1.635,3,exp_20260915_030551
tc5,graphql,400,없음,21.446,7.927,33.838,2.855,2.023,5.847,3,exp_20260915_030551
tc5,graphql,400,있음,2.853,2.782,2.975,1.121,0.987,1.836,3,exp_20260915_030551
tc5,graphql,500,없음,45.623,42.051,47.776,4.173,2.265,6.837,3,exp_20260915_030551
tc5,graphql,500,있음,3.329,3.097,3.484,1.318,1.007,2.093,3,exp_20260915_030551
tc5,grpc,300,없음,7.472,6.952,7.817,2.486,2.2,5.155,3,exp_20260915_030551
tc5,grpc,300,있음,2.859,2.574,3.022,1.049,0.958,1.638,3,exp_20260915_030551
tc5,grpc,400,없음,10.421,9.448,10.914,2.76,2.169,5.848,3,exp_20260915_030551
tc5,grpc,400,있음,2.829,2.477,3.026,1.097,1.011,1.677,3,exp_20260915_030551
tc5,grpc,500,없음,9.418,8.3,11.148,2.314,1.798,4.618,3,exp_20260915_030551
tc5,grpc,500,있음,3.308,3.273,3.346,1.195,1.068,1.921,3,exp_20260915_030551
