experiment,condition,load,metric,mean,min,max,unit,reps,source_session
A,"tc5 (전체 객체, 7회 SELECT *)",300 VUs,mean,2.444,2.312,2.649,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",300 VUs,p50,2.07,1.917,2.276,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",300 VUs,p95,5.26,4.874,5.805,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",300 VUs,p99,7.458,6.948,8.047,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",300 VUs,mean,1.461,1.409,1.564,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",300 VUs,p50,1.195,1.119,1.31,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",300 VUs,p95,3.284,3.045,3.508,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",300 VUs,p99,5.117,4.831,5.289,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",400 VUs,mean,2.759,2.627,2.968,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",400 VUs,p50,2.018,1.844,2.222,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",400 VUs,p95,5.61,5.495,5.831,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",400 VUs,p99,9.795,8.323,11.833,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",400 VUs,mean,1.726,1.618,1.871,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",400 VUs,p50,1.136,1.061,1.235,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",400 VUs,p95,3.491,3.41,3.637,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",400 VUs,p99,7.269,5.757,9.309,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",500 VUs,mean,2.56,2.432,2.775,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",500 VUs,p50,1.833,1.781,1.894,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",500 VUs,p95,5.21,4.967,5.405,ms,3,exp_20260915_030551
A,"tc5 (전체 객체, 7회 SELECT *)",500 VUs,p99,11.765,9.183,15.477,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",500 VUs,mean,1.602,1.555,1.659,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",500 VUs,p50,1.043,1.022,1.062,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",500 VUs,p95,3.208,3.116,3.27,ms,3,exp_20260915_030551
A,"tc5_slim (필드 축소, 4회 컬럼 지정)",500 VUs,p99,11.033,7.316,17.169,ms,3,exp_20260915_030551
E,GraphQL 기존 (24 쿼리),640 rps,achieved,640.0018666666666,640.0,640.0056,iter/s,3,exp_de_e2_20260917_1243
E,GraphQL 기존 (24 쿼리),640 rps,p99,4.641733333333334,3.8664,6.0099,ms,3,exp_de_e2_20260917_1243
E,GraphQL 기존 (24 쿼리),640 rps,db_cpu,104.46036666666667,104.0491,104.9652,%,3,exp_de_e2_20260917_1243
E,GraphQL 기존 (24 쿼리),640 rps,api_throttle,24.02666666666667,20.69,26.400000000000002,%,3,exp_de_e2_20260917_1243
E,GraphQL light (19 쿼리),640 rps,achieved,640.0056,640.0056,640.0056,iter/s,3,exp_de_e2_20260917_1243
E,GraphQL light (19 쿼리),640 rps,p99,2.5594333333333332,2.4388,2.6491,ms,3,exp_de_e2_20260917_1243
E,GraphQL light (19 쿼리),640 rps,db_cpu,87.895,86.392,89.6636,%,3,exp_de_e2_20260917_1243
E,GraphQL light (19 쿼리),640 rps,api_throttle,3.23,2.88,3.5999999999999996,%,3,exp_de_e2_20260917_1243
E,GraphQL 기존 (24 쿼리),800 rps,achieved,800.0278,800.0167,800.05,iter/s,3,exp_de_e2_20260917_1243
E,GraphQL 기존 (24 쿼리),800 rps,p99,79.79306666666666,68.0845,96.8851,ms,3,exp_de_e2_20260917_1243
E,GraphQL 기존 (24 쿼리),800 rps,db_cpu,147.39103333333333,146.6945,147.8468,%,3,exp_de_e2_20260917_1243
E,GraphQL 기존 (24 쿼리),800 rps,api_throttle,99.06333333333333,99.00999999999999,99.17,%,3,exp_de_e2_20260917_1243
E,GraphQL light (19 쿼리),800 rps,achieved,800.0055666666667,800.0,800.0167,iter/s,3,exp_de_e2_20260917_1243
E,GraphQL light (19 쿼리),800 rps,p99,44.2715,42.5047,47.4886,ms,3,exp_de_e2_20260917_1243
E,GraphQL light (19 쿼리),800 rps,db_cpu,123.30013333333333,123.009,123.6226,%,3,exp_de_e2_20260917_1243
E,GraphQL light (19 쿼리),800 rps,api_throttle,99.5,99.5,99.5,%,3,exp_de_e2_20260917_1243
